"States / Union Territories","All Categories - Pre-Primary - Boys","All Categories - Pre-Primary - Girls","All Categories - Pre-Primary - Total","All Categories - Class I - Boys","All Categories - Class I - Girls","All Categories - Class I - Total","All Categories - Class II - Boys","All Categories - Class II - Girls","All Categories - Class II - Total","All Categories - Class III - Boys","All Categories - Class III - Girls","All Categories - Class III - Total","All Categories - Class IV - Boys","All Categories - Class IV - Girls","All Categories - Class IV - Total","All Categories - Class V - Boys","All Categories - Class V - Girls","All Categories - Class V - Total","All Categories - TOTALClass I - V - Boys","All Categories - TOTALClass I - V - Girls","All Categories - TOTALClass I - V - Total","All Categories - Class VI - Boys","All Categories - Class VI - Girls","All Categories - Class VI - Total","All Categories - Class VII - Boys","All Categories - Class VII - Girls","All Categories - Class VII - Total","All Categories - Class VIII - Boys","All Categories - Class VIII - Girls","All Categories - Class VIII - Total","All Categories - TOTALClass VI - VIII - Boys","All Categories - TOTALClass VI - VIII - Girls","All Categories - TOTALClass VI - VIII - Total","All Categories - TOTALClass I - VIII - Boys","All Categories - TOTALClass I - VIII - Girls","All Categories - TOTALClass I - VIII - Total","All Categories - Class IX - Boys","All Categories - Class IX - Girls","All Categories - Class IX - Total","All Categories - Class X - Boys","All Categories - Class X - Girls","All Categories - Class X - Total","All Categories - TOTALClass IX-X - Boys","All Categories - TOTALClass IX-X - Girls","All Categories - TOTALClass IX-X - Total","All Categories - TOTALClass I-X - Boys","All Categories - TOTALClass I-X - Girls","All Categories - TOTALClass I-X - Total","All Categories - Class XI - Boys","All Categories - Class XI - Girls","All Categories - Class XI - Total","All Categories - Class XII - Boys","All Categories - Class XII - Girls","All Categories - Class XII - Total","All Categories - TOTALClass XI- XII - Boys","All Categories - TOTALClass XI- XII - Girls","All Categories - TOTALClass XI- XII - Total","All Categories - TOTALClass I- XII - Boys","All Categories - TOTALClass I- XII - Girls","All Categories - TOTALClass I- XII - Total","All Categories - GrandTotal-Pre-Primary- XII - Boys","All Categories - GrandTotal-Pre-Primary- XII - Girls","All Categories - GrandTotal-Pre-Primary- XII - Total"
Tripura,4973,4215,9188,42337,40675,83012,40468,39042,79510,40662,39363,80025,39089,37439,76528,39782,37604,77386,202338,194123,396461,36494,34474,70968,40430,38867,79297,34774,33781,68555,111698,107122,218820,314036,301245,615281,36362,35152,71514,27320,26734,54054,63682,61886,125568,377718,363131,740849,13986,10420,24406,12813,9360,22173,26799,19780,46579,404517,382911,787428,409490,387126,796616
"Uttar Pradesh",NA,NA,NA,3398624,3133015,6531639,3073415,2959324,6032739,3065609,2938114,6003723,2941820,2681243,5623063,2611047,2190624,4801671,15090515,13902320,28992835,2070526,1744615,3815141,1966403,1562209,3528612,1900536,1583700,3484236,5937465,4890524,10827989,21027980,18792844,39820824,1981188,1440394,3421582,1929111,1480309,3409420,3910299,2920703,6831002,24938279,21713547,46651826,1136863,821318,1958181,1053772,837563,1891335,2190635,1658881,3849516,27128914,23372428,50501342,27128914,23372428,50501342
Uttarakhand,NA,NA,NA,121514,108103,229617,111024,99500,210524,106020,96757,202777,101957,93304,195261,100109,92872,192981,540624,490536,1031160,95654,90725,186379,95374,90406,185780,91937,87063,179000,282965,268194,551159,823589,758730,1582319,98151,86033,184184,99477,89760,189237,197628,175793,373421,1021217,934523,1955740,71841,64714,136555,70142,65662,135804,141983,130376,272359,1163200,1064899,2228099,1163200,1064899,2228099
"West Bengal",NA,NA,NA,1246855,1191674,2438529,944416,915644,1860060,921670,907207,1828877,944343,934283,1878626,903422,924700,1828122,4960706,4873508,9834214,794260,836843,1631103,750460,813686,1564146,697542,769521,1467063,2242262,2420050,4662312,7202968,7293558,14496526,618470,685324,1303794,503914,538572,1042486,1122384,1223896,2346280,8325352,8517454,16842806,418446,369478,787924,363048,312402,675450,781494,681880,1463374,9106846,9199334,18306180,9106846,9199334,18306180
"Andaman and Nicobar Islands",4249,4072,8321,3368,3209,6577,3177,3138,6315,3335,3135,6470,3336,3126,6462,3359,3240,6599,16575,15848,32423,3582,3324,6906,3528,3370,6898,3697,3408,7105,10807,10102,20909,27382,25950,53332,3795,3343,7138,3426,3136,6562,7221,6479,13700,34603,32429,67032,3409,2970,6379,2196,2203,4399,5605,5173,10778,40208,37602,77810,44457,41674,86131
Chandigarh,9828,8471,18299,9147,8151,17298,10102,9017,19119,10681,9736,20417,11196,9258,20454,11466,9460,20926,52592,45622,98214,11526,8968,20494,11137,8881,20018,10263,7880,18143,32926,25729,58655,85518,71351,156869,10085,7720,17805,9545,7806,17351,19630,15526,35156,105148,86877,192025,10078,7768,17846,8115,6206,14321,18193,13974,32167,123341,100851,224192,133169,109322,242491
"Dadra and Nagar Haveli",NA,NA,NA,4203,3875,8078,4133,3698,7831,4043,3609,7652,4167,3769,7936,4239,3645,7884,20785,18596,39381,4039,3523,7562,3758,3302,7060,3307,2684,5991,11104,9509,20613,31889,28105,59994,2990,2350,5340,2743,1951,4694,5733,4301,10034,37622,32406,70028,2245,1504,3749,1008,738,1746,3253,2242,5495,40875,34648,75523,40875,34648,75523
"Daman and Diu",1888,1545,3433,2003,1669,3672,1929,1639,3568,1947,1680,3627,1857,1626,3483,1869,1569,3438,9605,8183,17788,1730,1494,3224,1808,1490,3298,1534,1337,2871,5072,4321,9393,14677,12504,27181,1544,1389,2933,1384,1261,2645,2928,2650,5578,17605,15154,32759,1219,972,2191,880,731,1611,2099,1703,3802,19704,16857,36561,21592,18402,39994
Delhi,86308,79622,165930,182030,163404,345434,193280,170849,364129,194655,169640,364295,193726,172473,366199,200003,167771,367774,963694,844137,1807831,190271,163077,353348,179079,153597,332676,177044,147562,324606,546394,464236,1010630,1510088,1308373,2818461,184914,153530,338444,182973,157811,340784,367887,311341,679228,1877975,1619714,3497689,153333,129666,282999,108675,98714,207389,262008,228380,490388,2139983,1848094,3988077,2226291,1927716,4154007
Lakshadweep,481,589,1070,582,548,1130,563,515,1078,587,503,1090,610,603,1213,621,604,1225,2963,2773,5736,622,637,1259,755,951,1706,511,644,1155,1888,2232,4120,4851,5005,9856,675,615,1290,645,551,1196,1320,1166,2486,6171,6171,12342,539,574,1113,545,571,1116,1084,1145,2229,7255,7316,14571,7736,7905,15641
Puducherry,20303,18054,38357,10831,10336,21167,11383,10708,22091,11111,10611,21722,11621,10894,22515,11561,10747,22308,56507,53296,109803,11606,11278,22884,12596,12056,24652,12360,11293,23653,36562,34627,71189,93069,87923,180992,13487,11983,25470,10157,10434,20591,23644,22417,46061,116713,110340,227053,7183,8228,15411,6042,7347,13389,13225,15575,28800,129938,125915,255853,150241,143969,294210
INDIA,3268983,2804519,6073502,16303366,14968542,31271908,14917691,13956589,28874280,14413426,13479062,27892488,13854779,12836869,26691648,13149271,11990309,25139580,72638533,67231371,139869904,11609771,10625204,22234975,11105668,10040751,21146419,10401807,9223112,19624919,33117246,29889067,63006313,105755779,97120438,202876217,9822379,8158862,17981241,8729535,7341805,16071340,18551914,15500667,34052581,124307693,112621105,236928798,6120406,4913789,10768062,5483563,4489807,9973370,11603969,9403596,21007565,135911662,122024701,257936363,139180645,124829220,264009865
